Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,387,1,2024-10-24,OKC,@,DEN,W 102-87,1,36:12,11,24,.458,2,6,.333,9,18,.500,.500,4,5,.800,2,5,7,8,2,3,2,2,28,25.0,8
2,388,2,2024-10-26,OKC,@,CHI,W 114-95,1,29:30,9,21,.429,2,9,.222,7,12,.583,.476,3,3,1.000,2,6,8,2,4,0,1,1,23,19.1,23
3,389,3,2024-10-27,OKC,,ATL,W 128-104,1,36:01,11,24,.458,3,8,.375,8,16,.500,.521,10,11,.909,2,9,11,9,3,3,1,3,35,35.5,24
4,390,4,2024-10-30,OKC,,SAS,W 105-93,1,27:35,7,20,.350,2,10,.200,5,10,.500,.400,2,2,1.000,0,4,4,5,1,0,1,1,18,11.1,3
5,391,5,2024-11-01,OKC,@,POR,W 137-114,1,28:23,12,18,.667,1,6,.167,11,12,.917,.694,5,6,.833,1,6,7,6,1,0,3,1,30,26.1,25
6,392,6,2024-11-02,OKC,@,LAC,W 105-92,1,31:20,7,14,.500,2,4,.500,5,10,.500,.571,9,9,1.000,0,3,3,9,0,1,3,2,25,22.1,8
7,393,7,2024-11-04,OKC,,ORL,W 102-86,1,35:04,8,16,.500,1,3,.333,7,13,.538,.531,4,4,1.000,0,6,6,9,1,0,4,4,21,16.5,18
8,394,8,2024-11-06,OKC,@,DEN,L 122-124,1,38:49,10,19,.526,0,3,.000,10,16,.625,.526,8,10,.800,0,2,2,6,1,1,8,1,28,16.0,3
9,395,9,2024-11-08,OKC,,HOU,W 126-107,1,29:02,11,16,.688,1,2,.500,10,14,.714,.719,6,7,.857,1,4,5,4,1,1,3,2,29,24.4,5
10,396,10,2024-11-10,OKC,,GSW,L 116-127,1,33:44,6,17,.353,0,2,.000,6,15,.400,.353,12,14,.857,1,4,5,4,0,1,4,0,24,15.1,-11
11,397,11,2024-11-11,OKC,,LAC,W 134-128,1,39:21,13,21,.619,4,8,.500,9,13,.692,.714,15,16,.938,0,3,3,9,5,2,1,3,45,46.5,8
12,398,12,2024-11-13,OKC,,NOP,W 106-88,1,32:37,12,25,.480,3,7,.429,9,18,.500,.540,2,3,.667,0,5,5,5,2,2,2,0,29,22.3,18
13,399,13,2024-11-15,OKC,,PHO,W 99-83,1,32:56,11,25,.440,2,7,.286,9,18,.500,.480,4,4,1.000,3,3,6,4,0,1,2,2,28,18.6,21
14,400,14,2024-11-17,OKC,,DAL,L 119-121,1,38:28,13,19,.684,1,1,1.000,12,18,.667,.711,9,11,.818,0,2,2,8,2,2,1,1,36,35.3,8
15,401,15,2024-11-19,OKC,@,SAS,L 104-110,1,37:16,11,20,.550,5,8,.625,6,12,.500,.675,5,6,.833,0,3,3,8,3,0,4,3,32,26.3,2
16,402,16,2024-11-20,OKC,,POR,W 109-99,1,38:42,7,19,.368,0,2,.000,7,17,.412,.368,14,14,1.000,2,3,5,4,3,1,2,2,28,23.5,7
17,403,17,2024-11-25,OKC,@,SAC,W 130-109,1,34:38,13,20,.650,4,7,.571,9,13,.692,.750,7,11,.636,0,4,4,11,0,0,6,2,37,28.7,15
18,404,18,2024-11-27,OKC,@,GSW,W 105-101,1,38:36,13,28,.464,3,12,.250,10,16,.625,.518,6,10,.600,0,9,9,5,1,2,3,3,35,23.4,5
19,405,19,2024-11-29,OKC,@,LAL,W 101-93,1,36:59,13,28,.464,3,10,.300,10,18,.556,.518,7,8,.875,3,3,6,9,2,1,3,3,36,29.0,13
20,406,20,2024-12-01,OKC,@,HOU,L 116-119,1,36:07,10,19,.526,3,7,.429,7,12,.583,.605,9,11,.818,2,6,8,5,2,0,2,2,32,27.8,6
21,407,21,2024-12-03,OKC,,UTA,W 133-106,1,30:07,11,19,.579,2,6,.333,9,13,.692,.632,2,2,1.000,1,5,6,7,3,0,0,4,26,25.6,20
22,408,22,2024-12-05,OKC,@,TOR,W 129-92,1,29:38,11,22,.500,1,10,.100,10,12,.833,.523,7,8,.875,0,4,4,5,2,2,2,2,30,23.9,28
23,409,23,2024-12-07,OKC,@,NOP,W 119-109,1,34:28,10,18,.556,1,3,.333,9,15,.600,.583,10,12,.833,0,2,2,4,0,0,4,5,31,19.0,-2
24,410,24,2024-12-10,OKC,,DAL,W 118-104,1,37:51,15,23,.652,5,9,.556,10,14,.714,.761,4,4,1.000,0,8,8,5,3,1,2,3,39,35.3,22
25,411,25,2024-12-14,OKC,,HOU,W 111-96,1,37:37,8,21,.381,2,6,.333,6,15,.400,.429,14,15,.933,0,8,8,6,5,1,1,3,32,30.2,16
26,412,26,2024-12-19,OKC,@,ORL,W 105-99,1,36:25,15,26,.577,1,5,.200,14,21,.667,.596,4,4,1.000,0,4,4,6,4,2,4,1,35,29.2,-6
27,413,27,2024-12-20,OKC,@,MIA,W 104-97,1,37:34,10,25,.400,3,9,.333,7,16,.438,.460,2,2,1.000,2,5,7,4,2,0,3,1,25,15.8,14
28,414,28,2024-12-23,OKC,,WAS,W 123-105,1,35:23,14,25,.560,3,6,.500,11,19,.579,.620,10,10,1.000,3,6,9,3,3,3,3,3,41,36.0,25
29,415,29,2024-12-26,OKC,@,IND,W 120-114,1,37:59,15,22,.682,4,5,.800,11,17,.647,.773,11,11,1.000,0,7,7,8,1,2,1,2,45,43.9,10
30,416,30,2024-12-28,OKC,@,CHO,W 106-94,1,33:00,8,15,.533,1,6,.167,7,9,.778,.567,5,6,.833,1,3,4,6,2,1,6,4,22,15.2,12
